Scaffold,Inhibitor,Noninhibitor,OddsRatio,p_value,
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccccc3)C2C1,4,0,inf,0.012593283,-1.89986102
O=C1OC(=NCC2CC2)C2(Cc3ccccc3)C3C(=CCc4c[nH]cc43)C=CN12,4,0,inf,0.012593283,-1.89986102
O=C1OC(=NCCc2c[nH]c3ccccc23)C2(Cc3ccccc3)C3C(=CCc4c[nH]cc43)C=CN12,4,0,inf,0.012593283,-1.89986102
O=C1OC(=NCCc2c[nH]c3ccccc23)C2C3C(=CCc4c[nH]cc43)C=CN12,4,0,inf,0.012593283,-1.89986102
O=S(=O)(c1ccccc1)N1CCC2(CCCN(Cc3ccccc3)C2)CC1,4,0,inf,0.012593283,-1.89986102
c1ccc(-c2nc(NCc3cnccn3)c3ccccc3n2)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(-c2nccc(NCc3cccnc3)n2)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(CNc2cc(-c3cccnc3)ncn2)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(CNc2ccnc(-c3cccnc3)n2)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(CNc2ccnc(-c3ccoc3)n2)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(CNc2nc(-c3ccc4c(c3)OCO4)nc3ccccc23)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(CNc2nc(-c3ccoc3)nc3ccccc23)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(CNc2ncnc3ccc(-c4cccnc4)cc23)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(CNc2ncncc2-c2ccc3c(c2)OCO3)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(CNc2ncncc2-c2cccnc2)cc1,4,0,inf,0.012593283,-1.89986102
c1ccc(-c2ccccc2)cc1,3,24,0.247406057,0.013070088,-1.883721485
O=C1CCC2C(=CCC3C4CCCC4CCC23)C1,1,16,0.123773823,0.017568279,-1.755270777
O=C1CC(c2ccccc2)Oc2ccccc21,6,2,5.961268594,0.020166746,-1.695364164
C1=CCCCC1,0,11,0,0.020311505,-1.692257897
c1cc[nH]c1,0,11,0,0.020311505,-1.692257897
O=C(C=Cc1ccccc1)c1ccccc1,10,6,3.313664887,0.029691728,-1.527364526
c1ccc(-c2nc3cncnc3[nH]2)cc1,0,9,0,0.033889534,-1.469934402
c1ccc2c(c1)Nc1ccccc1S2,0,9,0,0.033889534,-1.469934402
C1=CCOCC1,0,10,0,0.03707319,-1.430940045
C1CCCC1,0,10,0,0.03707319,-1.430940045
C1CNCCN1,0,10,0,0.03707319,-1.430940045
O=C(NN=C1CCCC2c3c[nH]cc3CCC12)OCc1ccccc1,0,10,0,0.03707319,-1.430940045
O=C(Nc1ccccc1)N1CCC2(CCCNC2)C1,0,10,0,0.03707319,-1.430940045
O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCCCO5)CC4CCC23)CO1,0,10,0,0.03707319,-1.430940045
C(=Cc1ccccc1)NCCc1ccccc1,3,0,inf,0.037603276,-1.424774316
C=C1C2CCC3C(c4ccoc4)OC(=O)CC13OC1CC(=O)CCC12,3,0,inf,0.037603276,-1.424774316
C=C1CCC2CCCCC2C1,3,0,inf,0.037603276,-1.424774316
N=C1CC(=O)c2ccncc2C1=O,3,0,inf,0.037603276,-1.424774316
O=C(CC1CC1Cc1ccccc1)Nc1ccc2ccccc2c1,3,0,inf,0.037603276,-1.424774316
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1c[nH]c2ccccc12,3,0,inf,0.037603276,-1.424774316
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)Nc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(Cc1csc(Nc2[nH]c(=S)nc3ccccc23)n1)NCc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(NC(Cc1c[nH]c2ccccc12)c1nnc2n1CCCCC2)c1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(NC(c1ccccc1)C1CC1)Oc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(NC(c1ccccc1)C1CC1)c1cccnc1,3,0,inf,0.037603276,-1.424774316
O=C(NC(c1ccccc1)C1CC1)c1ccco1,3,0,inf,0.037603276,-1.424774316
O=C(NC(c1ccccc1)C1CC1C(=O)NCCc1ccccc1)OCc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(NCC(=O)N(Cc1ccccc1)c1ccccc1)c1cccs1,3,0,inf,0.037603276,-1.424774316
O=C(NCC(=O)N(c1ccccc1)C(C(=O)NCc1ccco1)c1ccccc1)c1cccs1,3,0,inf,0.037603276,-1.424774316
O=C(NCc1ccccc1)c1csc(Cc2ccccc2)n1,3,0,inf,0.037603276,-1.424774316
O=C(NN=C1CCCC2c3cn(Cc4ccc5c(c4)OCO5)cc3CCC12)OCc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(Nc1c[nH]c2ccccc12)c1ccc2c(c1)OCO2,3,0,inf,0.037603276,-1.424774316
O=C(Nc1ccc2c(c1)OCO2)c1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(Nc1ccccc1)N1CCCC2(CCN(S(=O)(=O)c3ccccc3)CC2)C1,3,0,inf,0.037603276,-1.424774316
O=C(Nc1ccccc1)c1cc(-c2cccnc2)nc2ccccc12,3,0,inf,0.037603276,-1.424774316
O=C(c1cc2c(n1CCc1ccccn1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,3,0,inf,0.037603276,-1.424774316
O=C(c1cc2c(n1Cc1c[nH]ccc1=O)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,3,0,inf,0.037603276,-1.424774316
O=C(c1cc2c(n1Cc1cccc3c1OCOC3)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,3,0,inf,0.037603276,-1.424774316
O=C(c1cc2c(n1Cc1ccccn1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,3,0,inf,0.037603276,-1.424774316
O=C(c1cc2c(n1Cc1cccnc1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,3,0,inf,0.037603276,-1.424774316
O=C(c1cc2c(n1Cc1ccco1)CC1CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)N1CCCC1,3,0,inf,0.037603276,-1.424774316
O=C(c1ccc[nH]1)N1CCCC2(CCN(Cc3ccccc3)C2)C1,3,0,inf,0.037603276,-1.424774316
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3c[nH]ccc3=O)C2C1Cc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3cc[nH]n3)C2C1Cc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccccn3)C2C1Cc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3ccsc3)C2C1Cc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(c1ccccc1)N1CC2Cc3c(ccn3Cc3nc4ccccc4[nH]3)C2C1Cc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C(c1ccccc1)N1CCCC2(CCN(Cc3ccncc3)C2)C1,3,0,inf,0.037603276,-1.424774316
O=C(c1ccccc1)N1CCCC2(CCN(Cc3nccs3)C2)C1,3,0,inf,0.037603276,-1.424774316
O=C(c1ccccc1)c1c[nH]c(C(=O)NCCCn2ccnc2)c1,3,0,inf,0.037603276,-1.424774316
O=C1C=C2CCc3c[nH]cc3C2C2(Cc3ccccc3)C(=NCC3CC3)OC(=O)N12,3,0,inf,0.037603276,-1.424774316
O=C1CC2=CC3(Cc4ccccc4)C(=O)N(CCc4ccccc4)C(=O)N3CC2=C1c1ccccc1,3,0,inf,0.037603276,-1.424774316
O=C1c2ccccc2OCC1Cc1ccccc1,3,0,inf,0.037603276,-1.424774316
O=P(NCc1ccccc1)(c1ccccc1)c1ccccc1,3,0,inf,0.037603276,-1.424774316
O=S(=O)(Oc1ccccc1CN1CCC2CCCCC21)c1ccccc1,3,0,inf,0.037603276,-1.424774316
S=C(Nc1ccccc1)N(CCc1nc2ccccc2[nH]1)Cc1cccnc1,3,0,inf,0.037603276,-1.424774316
c1cc(N2CCC3(CCCNC3)C2)ccn1,3,0,inf,0.037603276,-1.424774316
c1ccc(-c2ccc3ncnc(N4CCOCC4)c3c2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(-c2ccc3ncnc(NCCN4CCOCC4)c3c2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(-c2ccc3ncnc(NCc4ccco4)c3c2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(-c2cn[nH]c2-c2ccccc2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(C2N(Cc3cccnc3)CC3C(c4cccnc4)C4(c5ccccc5)CC32C4)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CNCC(c2ccccc2)c2ccccc2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CNc2ccnc(-c3cnoc3)n2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CNc2nc(-c3cccnc3)nc3ccccc23)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CNc2nc(-c3cnoc3)nc3ccccc23)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CNc2ncnc3[nH]c(-c4ccccc4)nc23)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CNc2ncnc3ccc(-c4ccoc4)cc23)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CNc2ncnc3ccc(-c4cnoc4)cc23)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(COC(Cn2ccnc2)c2ccccc2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CSc2nccn2-c2ccccc2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(CSc2nnc(-c3cnn(-c4ccccc4)c3)[nH]2)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(Nc2nc(-c3cccnc3)nc3ccccc23)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc(Nc2ncnc3ccc(-c4ccccc4)cc23)cc1,3,0,inf,0.037603276,-1.424774316
c1ccc2nc(-c3ccc4c(c3)OCO4)ncc2c1,3,0,inf,0.037603276,-1.424774316
c1ccc(Cc2ccccc2)cc1,4,24,0.329967274,0.042548135,-1.371119466
O=C(c1ccccc1)c1ccccc1,1,13,0.15240169,0.044536511,-1.351283804
O=C(C=Cc1ccccc1)NCc1ccccc1,4,1,7.945021038,0.046099674,-1.33630215
O=C(Cc1ccccc1)c1ccccc1,4,1,7.945021038,0.046099674,-1.33630215
O=C(NC(c1ccccc1)C1CC1)c1ccccc1,4,1,7.945021038,0.046099674,-1.33630215
c1ccc(-c2cncnc2N2CCNCC2)cc1,4,1,7.945021038,0.046099674,-1.33630215
c1ccc(Oc2ccccc2)cc1,2,17,0.233018355,0.048026528,-1.318518808
C1CC1,0,8,0,0.058321495,-1.23417135
O=C(c1ccccc1)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,0,8,0,0.058321495,-1.23417135
c1ccsc1,2,15,0.264162228,0.070899471,-1.149357002
c1ccc(N2CCNCC2)cc1,1,11,0.180162046,0.071870403,-1.143449918
c1ccc(Nc2ccccc2)cc1,1,12,0.165125187,0.073077775,-1.136214685
c1ccc2scnc2c1,1,12,0.165125187,0.073077775,-1.136214685
c1ccc(-c2ncc3ccccc3n2)cc1,10,9,2.208173332,0.089839146,-1.046534387
O=S(=O)(NCc1ccccc1)c1ccccc1,4,2,3.971949509,0.101815141,-0.992187632
O=C(NCC1CCCN1)c1ccccc1,0,7,0,0.103632522,-0.984503933
O=C1CC(=O)C2C(=O)C3C(=O)c4ccccc4CC3CC2C1,0,7,0,0.103632522,-0.984503933
O=C1CCCN1,0,7,0,0.103632522,-0.984503933
O=c1cco[nH]1,0,7,0,0.103632522,-0.984503933
c1[nH]cc2c1CCC1C(=NOC3CCCCO3)CCCC21,0,7,0,0.103632522,-0.984503933
c1ccc(-c2ccc3ncnc(NC4CCNCC4)c3c2)cc1,0,7,0,0.103632522,-0.984503933
c1ccc(CN2CCCCC2)cc1,0,7,0,0.103632522,-0.984503933
c1cnccn1,0,7,0,0.103632522,-0.984503933
c1nncs1,0,7,0,0.103632522,-0.984503933
C(=Cc1ccncc1)c1ccccc1,2,0,inf,0.112261645,-0.949768599
C(=Cc1nc2ccccc2[nH]1)c1ccc(N2CCCC2)cc1,2,0,inf,0.112261645,-0.949768599
C(=NCc1nnnn1-c1ccccc1)c1ccccc1,2,0,inf,0.112261645,-0.949768599
C(Cc1nnnn1-c1ccccc1)=Nc1ccc2c(c1)OCO2,2,0,inf,0.112261645,-0.949768599
C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,2,0,inf,0.112261645,-0.949768599
C1=CC(c2cccc3nonc23)CC=N1,2,0,inf,0.112261645,-0.949768599
C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24,2,0,inf,0.112261645,-0.949768599
C=C(CC1(C(NP(=O)(c2ccccc2)c2ccccc2)C2CC2)CC1)c1ccccc1,2,0,inf,0.112261645,-0.949768599
C=C(CC1(CNP(=O)(c2ccccc2)c2ccccc2)CC1)c1ccccc1,2,0,inf,0.112261645,-0.949768599
C=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1,2,0,inf,0.112261645,-0.949768599
C=C1C2CCC3C(c4ccoc4)OC(=O)CC13OC1CCCCC12,2,0,inf,0.112261645,-0.949768599
N=C1CC(c2ccc(OCc3ccccc3)cc2)C2C(=O)CCC=C2N1Nc1ccccc1,2,0,inf,0.112261645,-0.949768599
N=C1CC(c2ccccc2)C2C(=O)CCC=C2O1,2,0,inf,0.112261645,-0.949768599
N=C1OC(=O)N2C(=O)C=C3CCc4c[nH]cc4C3C12Cc1ccccc1,2,0,inf,0.112261645,-0.949768599
O=C(C(NS(=O)(=O)c1cccs1)c1ccccc1)N1CCN(c2ccccc2)CC1,2,0,inf,0.112261645,-0.949768599
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,2,0,inf,0.112261645,-0.949768599
O=C(C=Cc1ccc2c(c1)OCO2)c1cccccc1=O,2,0,inf,0.112261645,-0.949768599
O=C(C=Cc1cccc(COc2ccccc2)c1)NCc1cn[nH]c1,2,0,inf,0.112261645,-0.949768599
O=C(C=Cc1ccccc1)Nc1ccncc1,2,0,inf,0.112261645,-0.949768599
O=C(C=Cc1ccccc1)c1c2c(c[nH]c1=O)CCCC2,2,0,inf,0.112261645,-0.949768599
O=C(C=Cc1ccccc1)n1cnc2ccccc21,2,0,inf,0.112261645,-0.949768599
O=C(CC(c1ccccc1)c1ccccc1)NCc1ccccc1,2,0,inf,0.112261645,-0.949768599
O=C(CC1C(=O)CC2CN(C(=O)c3ccccc3)C(Cc3ccccc3)C21)C(=O)N1CCCC1,2,0,inf,0.112261645,-0.949768599
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCC1CC1,2,0,inf,0.112261645,-0.949768599
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1c[nH]c2ccccc12,2,0,inf,0.112261645,-0.949768599
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCCc1ccccc1,2,0,inf,0.112261645,-0.949768599
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cc[nH]n1,2,0,inf,0.112261645,-0.949768599
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccccn1,2,0,inf,0.112261645,-0.949768599
O=C(CC1CC1C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1ccco1,2,0,inf,0.112261645,-0.949768599
O=C(CC1CC1C(NC(=O)c1cccnc1)c1ccccc1)Nc1ccc2ccccc2c1,2,0,inf,0.112261645,-0.949768599
O=C(CC1CC1C(NC(=O)c1ccn[nH]1)c1ccccc1)Nc1ccc2ccccc2c1,2,0,inf,0.112261645,-0.949768599
O=C(CC1CC1C(NC(=O)c1cnccn1)c1ccccc1)Nc1ccc2ccccc2c1,2,0,inf,0.112261645,-0.949768599
O=C(CC1Nc2cccc3cccc(c23)NC1=O)Nc1ccccc1,2,0,inf,0.112261645,-0.949768599
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)NCc1cccnc1,2,0,inf,0.112261645,-0.949768599
O=C(CC=C(c1cccnc1)C(NC(=O)OCc1ccccc1)c1ccccc1)Nc1ccccc1,2,0,inf,0.112261645,-0.949768599
O=C(CC=CC(NC(=O)OCc1ccccc1)c1ccccc1)NC1CCCCC1,2,0,inf,0.112261645,-0.949768599
