,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
5093,31,31,31,31,45,25,51,53,31,14,31,14,25,50,3,53,12,31,18,12,31,18,45,31,14,31,24,12,31,12,31,18,47,14,31,24,12,31,12,31,18,47,14,50,45,31,14,51,50,12,36,12,31,18,46,31,31,51,50,3,0,0,0,0,0,0
7066,31,47,31,12,31,18,31,14,31,25,51,31,45,53,12,31,18,12,31,18,31,14,31,14,24,13,45,31,31,31,31,31,50,12,31,24,12,36,12,31,18,46,14,50,3,14,31,24,1,31,12,31,18,47,31,14,51,50,17,0,0,0,0,0,0,0
7693,31,47,31,14,31,14,24,49,53,12,31,18,12,31,18,45,31,31,31,31,31,31,50,1,31,14,50,53,45,24,31,31,53,12,31,18,12,31,18,31,14,31,14,24,31,32,31,14,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4593,31,31,14,31,14,25,50,17,31,24,53,31,14,31,14,24,31,31,31,24,31,47,14,50,25,31,31,31,45,24,31,31,31,31,50,53,31,24,31,31,14,51,50,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9831,47,14,31,53,31,12,31,22,45,50,12,8,14,57,14,31,14,24,31,32,31,24,12,36,12,31,18,46,14,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8715,45,31,17,31,25,50,12,53,31,14,31,14,24,12,36,12,31,18,46,31,17,47,45,14,50,45,50,24,14,45,14,42,31,50,24,17,51,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9190,47,14,25,50,3,45,8,14,6,14,31,14,31,14,31,14,24,47,47,31,31,14,31,14,31,14,50,12,31,50,14,17,51,50,31,31,14,31,14,24,31,23,31,14,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4960,31,31,14,31,14,31,25,50,51,45,31,12,31,18,31,14,31,14,24,12,36,12,31,18,46,47,50,25,17,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9351,47,14,24,2,45,31,14,31,14,31,17,50,12,31,14,31,14,47,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1278,47,14,24,2,31,31,14,31,14,31,14,50,12,47,31,31,14,31,14,31,14,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7680,31,47,31,14,31,14,25,50,3,47,31,31,12,31,18,45,31,14,31,14,24,31,32,31,14,50,1,31,12,31,18,31,14,31,14,31,14,50,12,31,14,51,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2471,31,47,31,12,31,18,28,24,14,31,31,14,31,14,24,50,47,31,31,14,50,25,29,31,31,14,24,45,31,12,31,18,45,31,31,31,31,50,24,45,25,50,31,31,31,45,31,14,24,12,36,12,31,18,46,45,14,50,25,31,31,21,50,1,31,29
22,45,31,14,31,14,24,14,31,12,31,18,47,31,14,31,14,31,14,50,12,31,24,31,47,14,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,47,14,24,3,47,31,14,31,14,31,14,50,12,31,12,31,18,47,31,14,31,14,31,14,50,12,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,47,14,24,2,47,31,14,31,14,31,14,50,12,31,14,31,14,31,14,50,12,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,31,31,12,31,18,45,31,14,31,14,24,3,47,31,12,31,18,31,14,31,14,31,14,50,12,47,31,14,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1574,31,31,12,31,18,47,31,14,31,14,31,14,50,12,31,12,31,18,47,31,14,31,14,31,14,50,12,31,12,31,18,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1768,31,14,31,31,14,31,14,24,14,47,31,12,31,18,31,14,31,14,31,14,50,12,31,24,50,47,31,14,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,31,31,14,31,25,50,24,47,31,12,31,18,31,14,24,31,31,31,14,24,31,47,31,14,50,25,47,14,31,24,31,47,14,51,50,50,31,12,31,18,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2746,31,47,31,14,31,14,25,50,47,31,12,31,18,47,31,14,31,24,50,47,31,14,31,24,50,47,31,14,50,2,31,24,31,31,18,31,14,51,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6192,31,31,47,31,12,31,18,45,31,14,31,14,24,14,31,12,31,18,47,31,14,31,14,31,14,50,12,31,24,31,47,14,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9709,47,14,25,50,24,47,31,14,31,14,24,13,53,12,31,18,12,31,18,33,31,14,50,2,33,31,14,31,14,31,14,50,12,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7150,31,47,31,12,31,18,45,31,31,31,28,24,49,31,31,45,24,13,31,14,31,17,31,14,50,12,31,50,47,31,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8082,31,47,31,31,12,31,18,45,31,31,31,28,24,49,31,31,45,24,13,31,14,31,17,31,14,50,12,31,50,47,31,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8196,31,53,12,31,18,12,31,18,45,31,31,31,28,24,49,31,31,45,24,13,31,14,31,17,31,14,50,12,31,50,47,31,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5490,31,31,31,14,31,14,25,24,2,45,25,50,31,31,12,31,18,31,45,31,12,31,18,31,14,31,14,53,50,24,31,24,14,31,12,31,18,45,31,24,31,31,24,31,31,31,31,14,31,24,50,47,31,14,24,50,47,31,31,24,50,47,31,14,50,45
7400,31,47,31,14,31,14,25,24,24,31,24,14,31,12,31,18,45,31,24,31,31,24,31,31,31,45,25,50,31,31,12,31,18,31,45,31,12,31,18,31,14,31,14,53,50,24,31,14,31,14,24,12,31,24,31,31,31,31,14,50,13,31,14,51,51,50
7401,31,47,31,14,31,14,25,51,49,31,24,14,31,12,31,18,45,31,24,31,31,24,31,31,31,45,25,50,31,31,12,31,18,31,45,31,12,31,18,31,14,31,14,53,50,24,31,14,31,14,24,31,31,31,14,50,1,31,14,51,50,49,47,31,0,0
6279,31,31,47,31,14,31,14,25,50,17,45,31,31,25,50,31,31,12,31,18,45,31,31,14,31,14,31,24,31,31,14,50,1,31,31,50,53,18,31,14,51,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9203,47,14,24,3,45,8,14,57,14,31,14,31,24,31,47,14,50,1,31,14,31,17,31,14,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,47,14,31,53,31,25,51,12,31,31,45,25,50,47,31,31,31,45,31,14,31,14,31,14,50,12,53,31,14,31,14,24,31,32,31,14,50,1,50,3,31,31,51,50,25,45,51,50,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3256,31,29,25,50,12,45,31,17,31,17,31,53,31,14,24,12,31,50,13,20,24,31,31,31,50,12,31,12,31,18,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9699,47,14,24,31,47,31,53,31,17,31,17,31,53,31,14,24,12,31,50,13,20,24,31,31,31,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7787,31,47,31,14,31,14,31,14,31,14,25,50,24,31,12,31,18,45,31,14,31,14,31,12,51,14,50,12,47,31,47,50,12,47,31,50,49,17,31,51,50,24,14,51,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7842,31,47,31,14,31,14,31,25,50,25,31,14,31,24,14,45,31,31,14,45,14,24,31,31,31,17,50,1,17,31,17,50,3,14,51,50,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7928,31,47,31,14,31,14,31,14,50,12,31,14,31,24,14,45,31,31,14,45,14,24,31,31,31,17,50,1,17,31,17,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10326,31,31,14,45,14,25,50,47,31,45,31,14,31,24,3,31,14,31,14,31,14,50,12,31,45,24,31,31,31,17,31,17,50,53,31,17,51,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11238,31,31,14,45,14,25,50,49,31,45,31,14,31,25,50,51,31,14,31,14,24,2,31,12,31,18,45,24,31,31,31,31,14,50,47,17,31,17,50,49,31,17,51,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5703,31,31,31,31,47,31,14,31,14,25,50,49,31,12,31,18,45,6,12,49,14,57,14,31,14,31,24,12,36,12,31,18,46,14,50,13,31,12,31,18,47,31,31,31,31,14,51,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7914,31,47,31,14,31,14,31,14,50,12,31,12,31,18,45,6,12,17,14,6,14,31,14,24,31,23,31,14,50,1,31,12,31,18,45,31,31,12,31,18,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7915,31,47,31,14,31,14,31,14,50,12,31,12,31,18,45,6,12,2,14,6,14,31,14,31,14,50,12,31,12,31,18,45,31,24,24,31,31,53,31,31,12,31,18,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10280,31,31,14,31,14,25,50,2,31,12,31,18,31,47,31,12,31,18,31,45,31,12,31,18,31,31,14,31,14,31,14,50,12,31,14,51,50,1,36,12,31,18,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5510,31,31,31,14,31,14,31,24,50,31,31,14,50,25,45,31,12,31,18,31,45,31,31,24,31,31,53,6,50,12,17,57,31,31,31,31,31,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6644,31,45,24,13,31,31,14,31,14,47,50,24,31,17,31,24,53,31,14,31,14,31,12,51,14,50,12,47,31,47,50,12,17,31,14,31,14,31,14,51,50,50,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4723,31,31,14,31,14,25,50,14,45,31,31,17,31,14,31,14,50,12,31,12,31,18,45,50,2,31,31,14,31,14,24,31,33,31,14,50,1,31,14,51,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,45,53,12,31,18,12,31,18,31,14,31,14,24,12,31,14,50,12,32,45,31,24,12,31,24,31,32,32,45,53,50,45,12,31,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,45,53,12,31,18,12,31,18,31,14,31,14,24,12,31,14,50,12,32,45,31,45,53,50,13,12,31,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,45,53,12,31,18,12,31,18,31,14,31,14,24,17,31,14,50,12,31,24,31,33,24,31,33,33,45,31,45,53,50,45,12,31,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3201,31,27,45,31,14,31,14,24,31,32,31,14,50,1,53,12,31,18,12,31,18,45,50,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3410,31,14,31,53,31,27,45,31,14,31,24,31,32,14,24,13,53,24,31,45,12,31,18,18,31,14,50,47,53,12,31,18,12,31,18,45,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8794,45,53,12,31,18,12,31,18,31,14,31,14,24,12,31,14,50,12,32,45,27,24,12,31,24,31,32,32,45,53,50,45,12,31,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8351,33,31,14,31,14,25,50,13,45,31,17,31,24,25,31,31,14,47,31,20,24,17,31,14,31,14,31,14,50,3,50,12,31,14,51,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8419,45,3,31,14,31,14,25,51,31,31,45,31,31,28,25,50,12,31,31,31,45,24,17,31,12,31,18,31,14,31,17,31,14,50,12,31,50,14,31,51,50,31,31,14,51,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8966,47,14,24,13,31,14,31,17,31,14,50,12,45,31,31,31,28,25,51,25,31,31,45,25,50,14,31,31,14,31,24,13,31,24,31,33,24,31,33,33,14,31,24,13,31,24,31,33,24,31,33,33,14,50,14,31,51,50,51,31,51,50,13,0,0,0
7474,31,47,31,14,31,14,25,50,49,31,31,12,31,18,45,31,14,31,14,31,24,49,31,17,45,14,24,25,31,14,31,14,47,50,24,47,50,2,14,50,53,31,14,51,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3966,31,31,24,31,31,31,14,31,14,25,51,24,31,12,31,18,31,31,24,31,47,31,12,31,18,45,24,2,31,45,31,31,47,31,31,50,12,31,14,31,14,31,14,50,12,51,50,31,31,14,51,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,31,47,31,12,31,18,45,31,14,31,14,31,25,50,31,47,31,12,31,18,45,31,14,31,14,31,24,31,31,14,50,1,14,50,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3627,31,31,12,31,18,31,14,31,14,31,24,3,45,31,12,31,18,47,31,14,31,14,31,14,50,12,14,50,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
