TAID,Label
TOX-2194,0
TOX-2200,1
TOX-2203,0
TOX-2213,0
TOX-2224,0
TOX-2229,1
TOX-2231,0
TOX-2235,0
TOX-2239,0
TOX-2240,0
TOX-2241,0
TOX-2242,0
TOX-2261,0
TOX-2273,0
TOX-2274,0
TOX-2279,0
TOX-2281,0
TOX-2307,0
TOX-2308,0
TOX-2309,0
TOX-2310,0
TOX-2319,1
TOX-2329,0
TOX-2349,0
TOX-2355,0
TOX-2356,0
TOX-2360,0
TOX-2390,0
TOX-2394,0
TOX-2399,0
TOX-2402,0
TOX-2403,0
TOX-2404,0
TOX-2408,0
TOX-2413,0
TOX-2417,1
TOX-2423,0
TOX-2425,0
TOX-2426,0
TOX-2430,0
TOX-2434,0
TOX-2441,0
TOX-2451,0
TOX-2468,0
TOX-2471,0
TOX-2487,0
TOX-2501,0
TOX-2504,0
TOX-2521,0
TOX-2536,0
TOX-2564,0
TOX-2584,0
TOX-2592,0
TOX-2593,0
TOX-2596,1
TOX-2597,0
TOX-2603,0
TOX-2608,0
TOX-2639,0
TOX-2642,0
TOX-2643,0
TOX-2646,0
TOX-2656,0
TOX-2670,0
TOX-2688,0
TOX-2698,0
TOX-2701,0
TOX-2702,0
TOX-2707,0
TOX-2708,0
TOX-2709,0
TOX-2714,0
TOX-2722,1
TOX-2725,0
TOX-2738,0
TOX-2756,0
TOX-2781,0
TOX-2789,0
TOX-2814,0
TOX-2827,0
TOX-2835,0
TOX-2837,0
TOX-2839,0
TOX-2844,0
TOX-2850,0
TOX-2855,0
TOX-2861,0
TOX-2870,0
TOX-2872,0
TOX-2874,0
TOX-2881,0
TOX-2923,0
TOX-2926,0
TOX-2931,1
TOX-2937,1
TOX-2941,0
TOX-2966,0
TOX-2969,0
TOX-2973,0
TOX-2984,0
TOX-2991,0
TOX-3006,0
TOX-3023,0
TOX-3030,0
TOX-3032,0
TOX-3034,0
TOX-3035,0
TOX-3037,0
TOX-3038,0
TOX-3040,0
TOX-3043,1
TOX-3045,0
TOX-3052,0
TOX-3053,0
TOX-3063,1
TOX-3075,0
TOX-3076,0
TOX-3096,0
TOX-3103,0
TOX-3113,0
TOX-3114,0
TOX-3128,0
TOX-3136,0
TOX-3143,0
TOX-3146,0
TOX-3147,0
TOX-3148,0
TOX-3150,0
TOX-3151,0
TOX-3153,0
TOX-3156,1
TOX-3168,0
TOX-3179,1
TOX-3184,0
TOX-3215,0
TOX-3233,0
TOX-3247,0
TOX-3249,0
TOX-3279,0
TOX-3309,0
TOX-3323,1
TOX-3335,0
TOX-3357,0
TOX-3359,0
TOX-3361,0
TOX-3368,0
TOX-3390,0
TOX-3423,0
TOX-3437,0
TOX-3440,0
TOX-3459,0
TOX-3462,0
TOX-3470,0
TOX-3486,0
TOX-3489,1
TOX-3492,0
TOX-3497,0
TOX-3500,0
TOX-3508,0
TOX-3511,1
TOX-3540,0
TOX-3559,0
TOX-3562,0
TOX-3581,0
TOX-3606,0
TOX-3607,0
TOX-3617,0
TOX-3624,0
TOX-3711,0
TOX-3793,1
TOX-3807,0
TOX-3839,0
TOX-3844,0
TOX-3865,0
TOX-3867,0
TOX-3879,0
TOX-3880,0
TOX-3886,0
TOX-3892,0
TOX-3893,0
TOX-3897,0
TOX-3906,0
TOX-3918,0
TOX-3927,0
TOX-3937,0
TOX-3939,0
TOX-3962,0
TOX-3972,0
TOX-3974,0
TOX-3977,0
TOX-3979,0
TOX-3992,0
TOX-3999,0
TOX-4004,0
TOX-4020,0
TOX-4021,1
TOX-4024,0
TOX-4032,0
TOX-4035,1
TOX-4045,0
TOX-4054,0
TOX-4068,1
TOX-4081,0
TOX-4096,0
TOX-4097,1
TOX-4112,0
TOX-4119,0
TOX-4125,1
TOX-4130,0
TOX-4151,0
TOX-4154,0
TOX-4155,0
TOX-4156,0
TOX-4157,0
TOX-4170,0
TOX-4175,0
TOX-4178,0
TOX-4193,0
TOX-4200,0
TOX-4208,0
TOX-4216,0
TOX-4218,0
TOX-4225,0
TOX-4229,0
TOX-4231,0
TOX-4236,0
TOX-4249,0
TOX-4271,0
TOX-4289,0
TOX-4299,0
TOX-4318,0
TOX-4324,0
TOX-4325,0
TOX-4328,0
TOX-4329,0
TOX-4332,0
TOX-4337,0
TOX-4342,0
TOX-4345,0
TOX-4351,0
TOX-4361,0
TOX-4364,0
TOX-4365,0
TOX-4368,0
TOX-4373,1
TOX-4374,0
TOX-4395,0
TOX-4407,0
TOX-4411,0
TOX-4418,0
TOX-4423,0
TOX-4425,0
TOX-4426,0
TOX-4427,0
TOX-4433,0
TOX-4437,0
TOX-4444,0
TOX-4453,0
TOX-4459,0
TOX-4466,0
TOX-4467,0
TOX-4478,0
TOX-4479,0
TOX-4480,0
TOX-4483,0
TOX-4487,0
TOX-4532,0
TOX-4555,0
TOX-4558,0
TOX-4568,0
TOX-4576,0
TOX-4597,0
TOX-4598,0
TOX-4603,0
TOX-4615,0
TOX-4620,0
TOX-4621,0
TOX-4622,0
TOX-4624,0
TOX-4626,0
TOX-4627,0
TOX-4628,0
TOX-4635,0
TOX-4637,0
TOX-4640,0
TOX-4641,0
TOX-4644,0
TOX-4645,0
TOX-4646,0
TOX-4649,0
TOX-4652,0
TOX-4670,0
TOX-4679,0
TOX-4680,0
TOX-4682,0
TOX-4683,0
TOX-4684,0
TOX-4696,0
TOX-4703,1
TOX-4723,0
TOX-4734,0
TOX-4738,0
TOX-4740,0
TOX-4742,1
TOX-4757,0
TOX-4758,0
TOX-4759,0
TOX-4761,0
TOX-4770,0
TOX-4779,0
TOX-4787,0
TOX-4789,0
TOX-4803,0
TOX-4804,0
TOX-4807,0
TOX-4822,0
TOX-4832,0
TOX-4833,0
TOX-4834,0
TOX-4835,0
TOX-4837,0
TOX-4841,0
TOX-4845,0
TOX-4853,0
TOX-4861,0
TOX-4867,0
TOX-4868,0
TOX-4869,0
TOX-4870,0
TOX-4883,0
TOX-4885,0
TOX-4887,0
TOX-4888,0
TOX-4893,0
TOX-4894,0
TOX-4897,0
TOX-4900,0
TOX-4901,0
TOX-4905,0
TOX-4908,0
TOX-4910,0
TOX-4930,0
TOX-4932,0
TOX-4933,0
TOX-4942,0
TOX-4943,0
TOX-4946,0
TOX-4949,0
TOX-4954,1
TOX-4976,1
TOX-4989,0
TOX-4993,0
TOX-5016,0
TOX-5033,0
TOX-5044,0
TOX-5048,0
TOX-5050,0
TOX-5055,0
TOX-5063,0
TOX-5077,0
TOX-5080,0
TOX-5082,0
TOX-5084,0
TOX-5085,0
TOX-5087,0
TOX-5088,0
TOX-5094,0
TOX-5096,0
TOX-5097,0
TOX-5098,0
TOX-5099,0
TOX-5103,0
TOX-5104,0
TOX-5109,0
TOX-5110,0
TOX-5111,0
TOX-5113,0
TOX-5118,0
TOX-5125,0
TOX-5127,0
TOX-5131,0
TOX-5141,0
TOX-5146,0
TOX-5149,0
TOX-5150,0
TOX-5164,0
TOX-5178,0
TOX-5179,0
TOX-5180,0
TOX-5182,0
TOX-5186,0
TOX-5187,0
TOX-5188,0
TOX-5192,0
TOX-5201,0
TOX-5202,0
TOX-5205,0
TOX-5210,0
TOX-5214,0
TOX-5216,0
TOX-5221,0
TOX-5225,0
TOX-5227,0
TOX-5228,0
TOX-5229,0
TOX-5230,0
TOX-5239,0
TOX-5251,0
TOX-5253,0
TOX-5254,0
TOX-5255,0
TOX-5256,0
TOX-5267,0
TOX-5272,0
TOX-5274,0
TOX-5280,0
TOX-5287,0
TOX-5291,0
TOX-5295,0
TOX-5305,0
TOX-5306,0
TOX-5309,1
TOX-5311,0
TOX-5335,0
TOX-5343,0
TOX-5346,0
TOX-5347,0
TOX-5357,0
TOX-5360,0
TOX-5365,0
TOX-5368,0
TOX-5379,0
TOX-5395,0
TOX-5402,0
TOX-5406,0
TOX-5415,0
TOX-5417,0
TOX-5443,0
TOX-5444,0
TOX-5448,0
TOX-5450,0
TOX-5454,0
TOX-5460,0
TOX-5468,0
TOX-5470,0
TOX-5484,0
TOX-5485,0
TOX-5490,0
TOX-5506,0
TOX-5511,0
TOX-5516,0
TOX-5517,0
TOX-5518,0
TOX-5519,0
TOX-5521,0
TOX-5523,0
TOX-5528,0
TOX-5529,0
TOX-5539,0
TOX-5541,0
TOX-5542,0
TOX-5543,0
TOX-5544,0
TOX-5547,0
TOX-5549,0
TOX-5550,0
TOX-5555,0
TOX-5558,0
TOX-5560,0
TOX-5567,0
TOX-5597,0
TOX-5598,0
TOX-5599,0
TOX-5600,0
TOX-5604,0
TOX-5606,0
TOX-5607,0
TOX-5609,0
TOX-5611,0
TOX-5620,0
TOX-5621,0
TOX-5631,0
TOX-5635,0
TOX-5636,0
TOX-5637,0
TOX-5641,0
TOX-5650,0
TOX-5651,0
TOX-5652,0
TOX-5658,0
TOX-5671,0
TOX-5677,0
TOX-5678,0
TOX-5699,0
TOX-5701,0
TOX-5707,0
TOX-5717,0
TOX-5724,0
TOX-5725,0
TOX-5726,0
TOX-5727,0
TOX-5754,0
TOX-5755,0
TOX-5758,0
TOX-5763,0
TOX-5764,0
TOX-5772,0
TOX-5774,0
TOX-5776,0
TOX-5777,0
TOX-5778,0
TOX-5785,0
TOX-5786,0
TOX-5790,0
TOX-5793,0
TOX-5794,0
TOX-5795,0
TOX-5797,0
TOX-5826,0
TOX-5832,0
TOX-5842,0
TOX-5843,0
TOX-5855,0
TOX-5857,0
TOX-5873,0
TOX-5883,0
TOX-5890,0
TOX-5892,0
TOX-5900,1
TOX-5902,0
TOX-5904,0
TOX-5908,1
TOX-5918,0
TOX-5919,0
TOX-5923,1
TOX-5926,0
TOX-5927,0
TOX-5928,0
TOX-5937,0
TOX-5944,0
TOX-5953,1
TOX-5959,0
TOX-5977,0
TOX-5982,0
TOX-5988,0
TOX-5991,0
TOX-5992,0
TOX-6004,0
TOX-6005,0
TOX-6009,0
TOX-6010,0
TOX-6017,0
TOX-6018,0
TOX-6021,0
TOX-6023,0
TOX-6028,0
TOX-6029,0
TOX-6031,0
TOX-6035,0
TOX-6044,0
TOX-6046,0
TOX-6055,0
TOX-6056,0
TOX-6065,0
TOX-6071,0
TOX-6075,0
TOX-6080,0
TOX-6088,0
TOX-6089,0
TOX-6100,0
TOX-6107,0
TOX-6108,0
TOX-6109,0
TOX-6115,0
TOX-6162,0
TOX-6164,0
TOX-6187,0
TOX-6196,0
TOX-6198,1
TOX-6212,0
TOX-6218,0
TOX-6221,1
TOX-6235,0
TOX-6239,0
TOX-6250,1
TOX-6265,0
TOX-6276,0
TOX-6303,0
TOX-6319,0
TOX-6324,0
TOX-6336,0
TOX-6337,0
TOX-6341,0
TOX-6347,0
TOX-6356,0
TOX-6371,0
TOX-6377,0
TOX-6391,0
TOX-6393,0
TOX-6406,0
TOX-6419,0
TOX-6429,1
TOX-6432,0
TOX-6443,1
TOX-6447,0
TOX-6455,0
TOX-6460,0
TOX-6466,0
TOX-6469,0
TOX-6470,0
TOX-6475,0
TOX-6504,0
TOX-6524,0
TOX-6532,0
TOX-6538,0
TOX-6544,0
TOX-6561,0
TOX-6563,0
TOX-6565,0
TOX-6578,1
TOX-6599,0
TOX-6624,0
TOX-6642,0
TOX-6655,0
TOX-6680,0
TOX-6706,0
TOX-6734,1
TOX-6740,0
TOX-6747,0
TOX-6748,0
TOX-6783,0
TOX-6863,0
TOX-6865,1
TOX-6867,0
TOX-6945,0
TOX-7053,0
TOX-7117,0
TOX-7215,0
TOX-7239,0
TOX-7272,0
TOX-7282,0
TOX-7289,0
TOX-7290,0
TOX-7292,0
TOX-7296,0
TOX-7298,0
TOX-7323,0
TOX-7371,0
TOX-7386,0
TOX-7396,0
TOX-7434,0
TOX-7464,0
TOX-7498,1
TOX-7517,0
TOX-7521,1
TOX-7534,0
TOX-7543,0
TOX-7554,0
TOX-7555,0
TOX-7574,0
TOX-7595,0
TOX-7596,0
TOX-7597,0
TOX-7607,0
TOX-7616,0
TOX-7637,0
TOX-7641,0
TOX-7643,0
TOX-7651,0
TOX-7652,0
TOX-7689,0
TOX-7697,0
TOX-7722,0
TOX-7763,0
TOX-7791,0
TOX-7797,1
TOX-7806,0
TOX-7844,0
TOX-7845,0
TOX-7851,0
TOX-7885,0
TOX-7886,0
TOX-7890,0
TOX-7937,0
TOX-7960,0
TOX-7983,0
TOX-7984,0
TOX-7986,0
TOX-7994,0
TOX-8004,0
TOX-8029,0
TOX-8073,0
TOX-8078,0
TOX-8098,0
TOX-8100,0
TOX-8122,0
TOX-8157,0
TOX-8167,0
TOX-8189,0
TOX-8194,0
TOX-8227,0
TOX-8231,0
TOX-8242,0
TOX-8264,1
TOX-8303,0
TOX-8309,0
TOX-8314,0
TOX-8361,0
TOX-8366,0
TOX-8398,0
TOX-8404,0
TOX-8405,0
TOX-8406,0
TOX-8420,1
TOX-8424,0
TOX-8430,0
TOX-8463,0
TOX-8470,0
TOX-8490,0
TOX-8584,0
TOX-8602,0
TOX-8603,0
TOX-8709,0
TOX-8791,0
TOX-8792,0
TOX-8812,0
TOX-8813,0
TOX-8902,0
TOX-8946,0
TOX-8975,0
TOX-9127,0
TOX-9145,0
TOX-9234,0
TOX-9250,0
TOX-9285,0
TOX-9287,0
TOX-9290,0
TOX-9298,0
TOX-9300,0
TOX-9309,0
TOX-9320,0
TOX-9384,0
TOX-9394,0
TOX-9486,0
TOX-9501,0
TOX-9580,0
TOX-9627,0
TOX-9704,0
TOX-9719,0
TOX-9811,0
TOX-9847,0
TOX-9882,0
TOX-9919,0
TOX-10009,1
TOX-10114,0
TOX-10142,0
TOX-10225,0
TOX-10233,0
TOX-10237,0
TOX-10266,0
TOX-10293,0
TOX-10317,0
TOX-10360,0
TOX-10375,0
TOX-10387,0
TOX-10453,0
TOX-10518,0
TOX-10695,0
TOX-10702,0
TOX-10767,1
TOX-10834,0
TOX-10835,0
TOX-10839,0
TOX-10855,0
TOX-10913,0
TOX-11006,0
TOX-11220,0
TOX-11346,0
TOX-11348,0
TOX-11413,0
TOX-11416,0
TOX-11425,0
TOX-11427,0
TOX-11587,0
TOX-11607,0
TOX-11618,0
TOX-11701,0
TOX-11862,0
TOX-11929,0
TOX-12102,0
TOX-12260,1
TOX-12611,0
TOX-12702,0
TOX-12809,0
TOX-12912,0
TOX-12947,1
TOX-12965,0
TOX-13019,0
TOX-13027,0
TOX-13293,0
TOX-13299,0
TOX-13400,0
TOX-13430,0
TOX-13519,0
TOX-13582,0
TOX-13625,0
TOX-13631,1
TOX-13653,1
TOX-13752,0
TOX-13848,1
TOX-13957,0
TOX-13996,0
TOX-14044,0
TOX-14077,0
TOX-14217,0
TOX-14352,0
TOX-14367,0
TOX-14385,0
TOX-14432,0
TOX-14698,0
TOX-14778,0
TOX-14935,0
TOX-14950,0
TOX-15390,0
TOX-15537,0
TOX-15564,0
TOX-15633,0
TOX-15639,0
TOX-15685,0
TOX-15850,0
TOX-15856,0
TOX-15916,0
TOX-16342,0
TOX-16431,0
TOX-16442,0
TOX-16456,0
TOX-16568,0
TOX-16827,0
TOX-16849,0
TOX-16975,0
TOX-17043,0
TOX-17065,0
TOX-17154,1
TOX-17160,0
TOX-17171,0
TOX-17184,0
TOX-17426,0
TOX-17577,0
TOX-17585,0
TOX-17615,0
TOX-17631,1
TOX-17653,0
TOX-17849,1
TOX-17889,0
TOX-17940,0
TOX-18210,0
TOX-18468,1
TOX-18596,0
TOX-18695,0
TOX-18794,0
TOX-18920,0
TOX-19221,0
TOX-19261,0
TOX-19569,0
TOX-19691,0
TOX-19868,0
TOX-19965,0
TOX-20001,0
TOX-20125,0
TOX-20984,0
TOX-21145,0
TOX-21264,0
TOX-21392,0
TOX-21414,0
TOX-21451,1
TOX-21575,0
TOX-21855,0
TOX-22612,1
TOX-22780,1
TOX-23504,1
TOX-23847,0
TOX-24054,0
TOX-24081,0
TOX-24678,0
TOX-24748,0
TOX-24861,0
TOX-24872,0
TOX-24984,0
TOX-24991,0
TOX-25015,0
TOX-25233,0
TOX-25272,0
TOX-26047,0
TOX-26122,0
TOX-26134,0
TOX-26138,0
TOX-26166,0
TOX-26614,0
TOX-26702,0
TOX-26758,0
TOX-26775,0
TOX-26897,0
TOX-27030,0
TOX-27086,0
TOX-28054,0
TOX-28273,0
TOX-28912,0
TOX-29164,0
TOX-29325,0
TOX-29380,0
TOX-29597,0
TOX-30556,0
TOX-30604,0
TOX-30709,0
TOX-30853,0
TOX-31274,0
TOX-31595,0
TOX-31969,0
TOX-32347,0
TOX-33207,0
TOX-33710,0
TOX-34835,0
TOX-34924,0
TOX-35046,0
TOX-35062,0
TOX-36450,1
TOX-37295,0
TOX-37905,0
TOX-39101,0
TOX-39278,0
TOX-39329,0
TOX-39861,0
TOX-40327,0
TOX-40999,1
TOX-42982,0
TOX-43524,0
TOX-43779,0
TOX-44024,0
TOX-46843,0
TOX-46845,0
TOX-48230,0
TOX-48767,0
TOX-49877,0
TOX-50088,0
TOX-50683,0
TOX-51410,0
TOX-53345,0
TOX-53644,0
TOX-53829,0
TOX-56910,0
TOX-57885,0
TOX-60103,0
TOX-63138,0
TOX-63174,0
TOX-64712,1
TOX-66114,0
TOX-67943,0
TOX-69829,0
TOX-72143,0
TOX-72180,0
TOX-72190,0
TOX-72316,0
TOX-72455,0
TOX-72509,0
TOX-72543,1
TOX-72570,0
TOX-72572,0
TOX-72577,0
TOX-72630,0
TOX-72715,0
TOX-72716,0
TOX-72748,0
TOX-72758,1
TOX-72779,0
TOX-72844,0
TOX-72851,0
TOX-72940,0
TOX-72978,0
TOX-73002,0
TOX-73004,0
TOX-73293,0
TOX-73400,0
TOX-73647,0
TOX-73654,0
TOX-73700,0
TOX-74250,0
TOX-74485,0
TOX-74501,0
TOX-74771,0
TOX-74952,0
TOX-75302,0
TOX-75618,0
TOX-76308,0
TOX-76317,0
TOX-77220,1
TOX-77749,1
TOX-79086,0
TOX-79090,0
TOX-79512,0
TOX-79543,0
TOX-80151,0
TOX-80610,0
TOX-80611,0
TOX-80632,0
TOX-80638,0
TOX-80644,0
TOX-80651,0
TOX-80655,0
TOX-80680,1
TOX-80682,0
TOX-80709,0
TOX-80710,0
TOX-80724,0
TOX-80738,0
TOX-80739,0
TOX-80769,0
TOX-80780,0
TOX-80819,0
TOX-80827,0
TOX-80834,0
TOX-80835,0
TOX-80838,0
TOX-80845,0
TOX-80859,0
TOX-80919,0
TOX-80925,0
TOX-80936,0
TOX-80942,0
TOX-80943,0
TOX-80973,0
TOX-80975,0
TOX-80976,0
TOX-80977,0
TOX-80990,1
TOX-80991,0
TOX-80996,0
TOX-81006,0
TOX-81032,0
TOX-81042,0
TOX-81044,0
TOX-81045,0
TOX-81046,0
TOX-81064,0
TOX-81065,0
TOX-81073,0
TOX-81096,1
TOX-81097,1
TOX-81098,0
TOX-81128,0
TOX-81135,0
TOX-81138,0
TOX-81140,0
TOX-81155,0
TOX-81162,0
TOX-81169,0
TOX-81171,0
TOX-81173,0
TOX-81198,0
TOX-81199,1
TOX-81206,0
TOX-81207,0
TOX-81220,0
TOX-81222,0
TOX-81233,0
TOX-81252,0
TOX-81273,0
TOX-81282,0
TOX-81304,0
TOX-81305,0
TOX-81306,1
TOX-81308,0
TOX-81309,0
TOX-81310,0
TOX-81313,0
TOX-81322,1
TOX-81326,0
TOX-81337,0
TOX-81347,0
TOX-81400,0
TOX-81407,0
TOX-81411,0
TOX-81420,0
TOX-81424,0
TOX-81430,1
TOX-81435,0
TOX-81437,0
TOX-81457,0
TOX-81465,0
TOX-81527,0
TOX-81533,1
TOX-81537,0
TOX-81539,0
TOX-81549,0
TOX-81554,0
TOX-81563,0
TOX-81564,0
TOX-81565,0
TOX-81584,0
TOX-81585,0
TOX-81589,1
TOX-81590,0
TOX-81591,0
TOX-81609,0
TOX-81621,0
TOX-81696,0
TOX-81698,0
TOX-81699,0
TOX-81700,0
TOX-81701,0
TOX-81717,0
TOX-81724,0
TOX-81735,0
TOX-81738,0
TOX-81747,0
TOX-81775,0
TOX-81777,0
TOX-81802,1
TOX-81812,0
TOX-81813,0
TOX-81823,0
TOX-81831,0
TOX-81836,0
TOX-81851,0
TOX-81876,0
TOX-81892,0
TOX-81893,0
TOX-81897,0
TOX-81898,0
TOX-81908,0
TOX-81909,0
TOX-81921,0
TOX-81922,0
TOX-81942,0
TOX-81943,0
TOX-81971,0
TOX-81973,0
TOX-81977,0
TOX-81992,0
TOX-82009,0
TOX-82011,0
TOX-82017,0
TOX-82030,0
TOX-82074,0
TOX-82075,1
TOX-82077,0
TOX-82086,0
TOX-82087,0
TOX-82101,0
TOX-82102,0
TOX-82113,0
TOX-82116,1
TOX-82119,0
TOX-82145,0
TOX-82148,0
TOX-82152,0
TOX-82154,1
TOX-82179,0
TOX-82192,0
TOX-82211,0
TOX-82221,0
TOX-82242,0
TOX-82249,0
TOX-82257,0
TOX-82258,0
TOX-82274,0
TOX-82313,0
TOX-82316,0
TOX-82332,0
TOX-82336,0
TOX-82339,0
TOX-82340,0
TOX-82344,0
TOX-82351,0
TOX-82352,0
TOX-82356,0
TOX-82369,0
TOX-82388,0
TOX-82401,0
TOX-82405,0
TOX-82411,0
TOX-82419,0
TOX-82446,0
TOX-82450,0
TOX-82464,0
TOX-82469,0
TOX-82489,0
TOX-82515,0
TOX-82530,0
TOX-82557,0
TOX-82580,1
TOX-82585,0
TOX-82586,0
TOX-82587,0
TOX-82589,1
TOX-82591,0
TOX-82596,0
TOX-82597,1
TOX-82632,1
TOX-82650,0
TOX-82652,0
TOX-82658,0
TOX-82682,0
TOX-82683,0
TOX-82688,0
TOX-82689,0
TOX-82698,0
TOX-82709,0
TOX-82717,0
TOX-82736,0
TOX-82739,0
TOX-82740,0
TOX-82757,0
TOX-82761,0
TOX-82792,0
TOX-82820,0
TOX-82821,0
TOX-82824,0
TOX-82829,0
TOX-82838,0
TOX-82839,0
TOX-82840,0
TOX-82864,0
TOX-82865,0
TOX-82888,0
TOX-82889,0
TOX-82897,0
TOX-82933,0
TOX-82942,0
TOX-82943,0
TOX-82944,0
TOX-82953,0
TOX-82954,0
TOX-82962,0
TOX-82963,0
TOX-82971,0
TOX-82992,0
TOX-83009,1
TOX-83054,0
TOX-83057,0
TOX-83065,0
TOX-83089,0
TOX-83098,0
TOX-83133,0
TOX-83134,0
TOX-83148,0
TOX-83149,0
TOX-83159,0
TOX-83172,0
TOX-83173,0
TOX-83190,0
TOX-83193,0
TOX-83213,1
TOX-83215,0
TOX-83218,0
TOX-83221,0
TOX-83228,0
TOX-83229,0
TOX-83233,0
TOX-83244,0
TOX-83245,0
TOX-83259,0
TOX-83308,0
TOX-83310,0
TOX-83323,0
TOX-83336,0
TOX-83337,0
TOX-83352,0
TOX-83355,0
TOX-83362,0
TOX-83375,0
TOX-83376,0
TOX-83402,0
TOX-83409,0
TOX-83410,0
TOX-83471,0
TOX-83473,0
TOX-83497,0
TOX-83502,0
TOX-83504,0
TOX-83518,0
TOX-83520,0
TOX-83528,1
TOX-83535,1
TOX-83545,0
TOX-83555,0
TOX-83576,0
TOX-83638,0
TOX-83640,0
TOX-83651,0
TOX-83659,0
TOX-83669,1
TOX-83670,0
TOX-83673,0
TOX-83689,1
TOX-83712,0
TOX-83721,0
TOX-83725,0
TOX-83747,0
TOX-83763,0
TOX-83769,0
TOX-83804,1
TOX-83822,0
TOX-83830,0
TOX-83843,0
TOX-83864,1
TOX-83878,0
TOX-83886,0
TOX-83904,0
TOX-83911,1
TOX-83920,1
TOX-83938,0
TOX-83943,0
TOX-83949,0
TOX-83955,0
TOX-83971,0
TOX-83990,0
TOX-83992,0
TOX-83994,0
TOX-84016,0
TOX-84024,0
TOX-84034,0
TOX-84035,0
TOX-84058,0
TOX-84095,0
TOX-84098,0
TOX-84119,0
TOX-84122,0
TOX-84161,0
TOX-84172,0
TOX-84190,0
TOX-84201,0
TOX-84204,0
TOX-84214,0
TOX-84228,0
TOX-84243,0
TOX-84251,0
TOX-84255,0
TOX-84259,0
TOX-84262,0
TOX-84267,0
TOX-84478,0
TOX-84669,1
TOX-84738,0
TOX-84962,0
TOX-85427,1
TOX-85430,1
TOX-85621,0
TOX-85675,0
TOX-85770,0
TOX-85900,0
TOX-86034,0
TOX-86062,0
TOX-86066,0
